pair,site,total_abundance
Aow Mao,Aow Mao,2541
Aow Mao,Aow Mao Wreck,11073
No Name,No Name Pinnacle,4034
No Name,No Name Wreck,7736
Sattakut,Hin Pee Wee,6850
Sattakut,Sattakut,3690
