"contrast","ratio","SE","df","null","z.ratio","p.value"
"Aow Mao / No Name",1.19898210404451,0.255078132557055,Inf,1,0.853004596969347,0.669954874829186
"Aow Mao / Sattakut",0.700872894488978,0.179257452718465,Inf,1,-1.38967924659793,0.346285741616174
"No Name / Sattakut",0.58455659356777,0.149925529765365,Inf,1,-2.09336873424097,0.0911813091621774
