"Effect","Estimate","SE","CI","p_value"
"(Intercept)",3.77,0.557,"[2.68, 4.86]","<0.001"
"TypeArtificial",0.284,0.262,"[-0.229, 0.797]","0.278"
"PairNo Name",0.086,0.303,"[-0.508, 0.68]","0.777"
"PairSattakut",0.31,0.34,"[-0.356, 0.977]","0.362"
"date_num",0.000255,0.00106,"[-0.00183, 0.00234]","0.810"
