"Effect","Estimate","SE","CI","p_value"
"(Intercept)",1.21,0.493,"[0.247, 2.18]","0.014"
"TypeArtificial",0.147,0.253,"[-0.349, 0.642]","0.561"
"PairNo Name",-0.379,0.286,"[-0.939, 0.181]","0.184"
"PairSattakut",0.679,0.315,"[0.062, 1.3]","0.031"
"date_num",0.00105,0.000977,"[-0.000866, 0.00296]","0.283"
